Time,Average_Price_of_Nexus,Crypto,Price_of_Stock
2024-01-01,99.22659365843585,150.04812060906906,199.6076436899298
2024-01-02,98.84090477206757,148.36281699133514,199.97610571973766
2024-01-03,98.92005957588796,149.38206041530955,198.0710498590387
2024-01-04,99.11127858760568,149.41683839670563,197.80004491066424
2024-01-05,98.57223086478182,148.1147569672984,198.02245464509033
2024-01-06,98.51340149911871,149.7747477642459,199.30477084103083
2024-01-07,98.97208686210143,149.5137069673378,197.38695103100778
2024-01-08,99.32827543234654,149.86200288386868,196.5170813433717
2024-01-09,99.49235093962997,151.54594781109543,196.34617815387693
2024-01-10,100.1868616260476,150.40515184312108,197.3131264170526
2024-01-11,99.81018518828924,149.78467110037127,195.17501078685763
2024-01-12,100.2453564671246,148.32503876566471,195.2732156122443
2024-01-13,99.8667362843239,146.7257703992953,195.40441370604978
2024-01-14,100.56962854277849,147.5375874571136,194.23883172554224
2024-01-15,100.31911307438965,148.78878491896012,193.85342323280653
2024-01-16,99.50299189241196,146.6158500182502,194.8701683520957
2024-01-17,99.29571116262282,146.2833843671907,196.69131970636724
2024-01-18,99.1950039614022,147.04310017823772,196.75671076539666
2024-01-19,99.12658121229421,145.0925249576169,197.68952582098683
2024-01-20,99.20059283387258,144.38411781147738,196.65102947797695
2024-01-21,98.93077099683906,144.6222455295424,197.15040009870302
2024-01-22,98.64619922764255,145.14500789844936,197.9776279207247
2024-01-23,99.11244401807248,146.47433820162072,198.06133365680705
2024-01-24,99.04692873111638,144.1791744524516,197.91438188810838
2024-01-25,99.09046148660461,144.46797858661944,198.5565556016086
2024-01-26,99.1714615949302,143.79523691572743,197.97086370537167
2024-01-27,99.05262940958177,142.38493340321344,197.36684688341356
2024-01-28,99.33784404732671,142.2812644309609,197.98951189616577
2024-01-29,99.31617309157436,142.67682200470588,197.90847640667488
2024-01-30,99.33213726699017,141.29395252926014,197.94862650593518
2024-01-31,99.51521784515131,143.2219660785177,197.8004592463377
2024-02-01,99.55648753407984,143.25486632490794,196.9287942022953
2024-02-02,99.57574206019189,142.27215251231362,197.9517453871707
2024-02-03,99.95187252053509,143.92080622952463,199.24783323677417
2024-02-04,99.20539280816206,141.47790748726106,198.174140130004
2024-02-05,99.57950606370306,141.2594816389627,197.73873593300527
2024-02-06,99.43558035411058,140.95800479956668,197.06752564919987
2024-02-07,99.16037573412115,142.61246321520022,196.56638894610097
2024-02-08,99.42555653114032,144.0663005441994,195.9282120733138
2024-02-09,100.26450213898569,144.40163404020004,194.1137337247127
2024-02-10,99.90294859171993,142.1206556180646,195.60066492741973
2024-02-11,99.89661448905888,142.51045309125627,195.01029222441136
2024-02-12,100.00317807996814,141.2816106978446,195.71735347376023
2024-02-13,100.53372587367147,141.03882527785754,197.82754088626098
2024-02-14,101.30550198141874,141.058707053402,199.34724137846592
2024-02-15,101.18545054692645,142.3781824956547,200.9230023563492
2024-02-16,101.4257383302102,144.41270668988446,202.00153285720074
2024-02-17,100.8589941268615,143.13032237567458,201.6500937032637
2024-02-18,101.12622584763334,142.6293168677719,200.72343634431817
2024-02-19,101.46298221464535,141.54050785997032,200.94037540567837
2024-02-20,101.2949615442194,142.7983893700743,201.5286565474905
2024-02-21,102.14895350964743,142.33146592242326,202.4786777401001
2024-02-22,102.51293315034076,141.52624791992025,200.58224866741776
2024-02-23,102.59874017999711,142.98253374939858,202.03091166330395
2024-02-24,102.26771634960873,141.70012465085864,201.23500534464145
2024-02-25,102.25708772243222,140.20762164045868,201.65884011022104
2024-02-26,102.43152580460986,139.8080092234107,200.50190086444903
2024-02-27,103.50991875518426,139.36448484987864,199.84884281316687
2024-02-28,104.09252994269174,140.2079730139349,201.2929377795351
2024-02-29,104.23922372923046,139.0387941307377,201.8590976816818
2024-03-01,103.6220030901369,141.7877815837085,203.0423595434627
2024-03-02,104.49749502122191,142.8687231796137,201.35253404774903
2024-03-03,104.39130100605962,144.63042032969332,202.24388152549875
2024-03-04,104.75785105267909,142.7511153249083,200.08484698988474
2024-03-05,105.01720408121874,141.7680527702301,201.01672218989154
2024-03-06,105.22471685321463,142.59567966956382,203.603029276865
2024-03-07,105.42899361633111,142.8522335465709,202.7737512256108
2024-03-08,105.98062638859597,143.80857656855983,203.07999670239
2024-03-09,106.26547596920065,144.75769616859665,203.00747119631927
2024-03-10,106.55966381648506,143.41390548106017,206.73340869148862
2024-03-11,106.37468316785875,144.70917566528453,206.09430781358878
2024-03-12,105.93713045064983,144.75080888405694,206.04351242723558
2024-03-13,106.38439984761719,143.3847199448402,205.51428654974532
2024-03-14,106.40955788178309,143.8971169489381,206.89673215175407
2024-03-15,106.83097425795104,146.09012408449004,204.04697273749065
2024-03-16,106.0026269932183,146.04460721594054,203.9824507523196
2024-03-17,106.93742878026791,147.36054969339295,201.8014200137392
2024-03-18,107.26649794373958,144.76999298717513,200.7147703726992
2024-03-19,107.17346423552749,146.01331353006756,202.29431654339464
2024-03-20,108.30133822660986,145.4248879444857,204.43320119515596
2024-03-21,108.96141518048368,143.62984508942904,205.23377798768234
2024-03-22,108.76668010391977,144.9519767018634,205.09310136840796
2024-03-23,108.97835966508049,143.90072238584537,206.73771878431506
2024-03-24,109.77569724297648,145.56247710600047,206.52668370966515
2024-03-25,110.12242039667277,142.1445373404624,207.40345187714436
2024-03-26,110.7746849663894,142.6475690469594,207.90836156642945
2024-03-27,110.63039844019437,143.1835475623001,207.6530447870081
2024-03-28,110.89591149901,142.92258281268613,207.328886018152
2024-03-29,110.93254123171224,142.05073657451035,207.92680147096223
2024-03-30,110.66227596032306,145.56884733378706,208.10871009792007
2024-03-31,111.59763741042454,145.51662741239312,208.79425657175344
2024-04-01,111.0850871918262,144.20043268390492,207.3584736517269
2024-04-02,111.29864361024664,141.78395977798195,204.46013913193823
2024-04-03,111.19623517735951,140.38590212572072,204.2329089917069
2024-04-04,111.37456723133569,140.02125338169415,204.33562845775546
2024-04-05,111.33003734491966,139.44646758986508,204.3802575711295
2024-04-06,111.89737374365838,140.3184656335791,204.08087360432404
2024-04-07,111.88671373471327,141.16128550744952,203.4613262241551
2024-04-08,111.60671837026035,139.58350542248047,204.3885172139822
2024-04-09,111.58921370711465,139.5959438773568,206.51214180176126
2024-04-10,112.0375688388536,139.94333171964203,205.8754328829537
2024-04-11,112.8019902234791,139.7321015366345,203.16341888292146
2024-04-12,112.34808885956403,137.75135725544158,203.1138088452362
2024-04-13,112.61819711998633,138.00627850982693,206.09980529306534
2024-04-14,112.59806111996039,137.53523799936227,205.6857779411717
2024-04-15,113.00563249356767,137.22536406390174,206.7957101928283
2024-04-16,113.1749372736919,137.69831509946496,205.41949877441533
2024-04-17,112.68605278803545,134.4317852159667,204.98773221376894
2024-04-18,112.14179354299313,134.85913788400833,203.6947476695471
2024-04-19,111.40486709159848,135.35127817733957,203.28251572904276
2024-04-20,111.18611765667431,135.20521961080004,201.21410700200678
2024-04-21,111.1209998918921,136.38605016634273,201.47287230353376
2024-04-22,110.72418094109506,134.81614493899053,202.5877438795173
2024-04-23,111.320624755233,132.04057420889268,203.0367207058601
2024-04-24,111.19179944400352,133.04407215368954,202.5808172796064
2024-04-25,111.12122502182086,134.4038648987066,201.14179031829278
2024-04-26,110.94283326274243,134.057399278475,198.5241675960789
2024-04-27,110.91102534668252,136.6799748792464,198.01408200514607
2024-04-28,110.62226536397748,135.5182384659516,198.16565120265292
2024-04-29,110.48981464631102,134.2496563851458,196.90312000073453
2024-04-30,111.2409819866346,133.4775983744709,197.83583141201953
2024-05-01,111.18102205384615,132.92665808035125,198.68583488210692
2024-05-02,111.80523835416373,132.56673480765005,197.56906976261988
2024-05-03,112.0972374155932,131.47945125636124,196.19189972645924
2024-05-04,112.37583880577496,131.21032322559114,196.03949481082356
2024-05-05,113.01316897553008,131.20917980795818,196.63199910456206
2024-05-06,112.63270670491109,128.9784481648619,196.3205609769033
2024-05-07,111.99842779162151,129.83223282668774,194.6946186120044
2024-05-08,112.8730548824116,130.32791867811434,195.07714917666164
2024-05-09,113.31562200587746,131.52469095586926,194.92174894673946
2024-05-10,113.07522396290727,131.35368485391305,195.86718239185896
