Time,Crypto,Buying_Price_of_Nexus,Selling_Price_of_Nexus,Price_of_Stock
05/20/24,4174.95,1270.3,1272.56,113.4566847
05/21/24,4340.316717,1272.75,1277.7,114.9617555
05/22/24,4331.77,1285.15,1287.88,110.4537256
05/23/24,4360.513317,1295.8,1297.22,110.9218331
05/24/24,4354.308333,1292.9,1297.53,109.5181203
05/25/24,4339.05,,,
05/26/24,4607.98545,,,
05/27/24,4594.98785,1289,1295.21,109.5623223
05/28/24,4582.52,1285.3,1291.29,110.7298317
05/29/24,4911.740017,1318.65,1321.92,112.7201716
05/30/24,4580.38748,1308.5,1309.89,110.1014774
05/31/24,4585.57,1311.75,1317.93,109.4220515
06/01/2024,4344.098317,,,
06/02/2024,4488.72014,,,
06/03/2024,4385.02,1335.55,1342.03,110.9917674
06/04/2024,4654.6585,1337.85,1343.75,111.9503719
06/05/2024,4310.750183,1343.5,1346.43,109.2171373
06/06/2024,4312.26,1346.25,1349.67,111.2962122
06/07/2024,4329.955,1334.2,1340.08,116.1797254
06/08/2024,4248.090017,,,
06/09/2024,4198.59,,,
06/10/2024,3961.271267,1324.55,1328.82,114.1160113
06/11/2024,3319.63,1322.85,1329.13,117.1029891
06/12/2024,3216.43,1312.1,1317.07,115.5150018
06/13/24,3763.62604,1309.6,1313.9,116.6032091
06/14/24,3746.060783,1311.3,1313.12,118.4829984
06/15/24,3678.53,,,
06/16/24,3943.413333,,,
06/17/24,3977.561667,1293.3,1295.32,109.0400247
06/18/24,3894.48,1300.05,1304.05,106.8821965
06/19/24,3637.50255,1282.55,1288.33,106.3968422
06/20/24,3776.3869,1283.35,1288.44,103.8263959
06/21/24,3777.62,1283.1,1287.96,107.3257348
06/22/24,3942.555,,,
06/23/24,3910.307383,,,
06/24/24,3881,1274.25,1277.02,103.8117907
06/25/24,4201.98905,1274.5,1279.9,106.9011975
06/26/24,4193.574667,1261.8,1267.15,103.926901
06/27/24,4164.27,1278.75,1284.46,106.4261218
06/28/24,4360.722967,1291.4,1297.41,106.5011426
06/29/24,4386.88375,,,
06/30/24,4394.07,,,
07/01/2024,4225.175,1299.6,1305.05,105.9798311
07/02/2024,4338.852,1303.3,1307.99,104.7675898
07/03/2024,4318.58,1284.75,1289.64,104.9664219
07/04/2024,4376.191667,1280.2,1285.56,104.2127243
07/05/2024,4602.280883,1286.4,1292.27,104.50183
07/06/2024,4605.66,,,
07/07/2024,4782.28,,,
07/08/2024,4819.485767,1276.45,1278.21,106.7950122
07/09/2024,4822.17,1275,1279.22,111.505274
07/10/2024,5563.806567,1273.75,1275.21,107.2894298
07/11/2024,5739.438733,1266.45,1270.08,107.0177204
07/12/2024,5825.99,1272,1276.03,108.3385208
07/13/24,5711.205867,,,
07/14/24,5603.71294,,,
07/15/24,5594.66,1279.2,1280.64,107.3145432
07/16/24,5727.6335,1267.2,1268.66,106.3147634
07/17/24,5979.45984,1270.9,1276.35,105.1215043
07/18/24,5986.44,1275.6,1278.71,106.9764703
07/19/24,5983.18455,1284,1285.94,107.796934
07/20/24,5876.079867,,,
07/21/24,5900.59,,,
07/22/24,5669.622533,1277.95,1280.33,109.0742685
07/23/24,5893.138417,1274.6,1279.05,110.9174526
07/24/24,5889.82,1282.2,1283.92,112.379196
07/25/24,5776.69695,1280,1281.54,110.5866008
07/26/24,6155.43402,1284.35,1288.36,109.409236
07/27/24,6136.49,,,
07/28/24,6388.645167,,,
07/29/24,6665.306683,1286.95,1291.97,112.5424581
07/30/24,6751.98,1290.35,1296.68,112.863272
07/31/24,7197.72006,1290.5,1294.46,115.8423716
08/01/2024,7437.543317,1294.9,1297.87,114.5371213
08/02/2024,7365.99,1291.85,1297.25,115.8551752
08/03/2024,6989.071667,,,
08/04/2024,7092.127233,,,
08/05/2024,7128.64,1275.5,1277.18,117.6152826
08/06/2024,7158.03706,1273.45,1274.85,119.6328307
08/07/2024,6719.39785,1266.3,1272.44,121.6560135
08/08/2024,6569.22,1263.7,1269.19,124.9366835
08/09/2024,5716.301583,1255,1259.75,125.0516878
08/10/2024,6550.227533,,,
08/11/2024,6493.63,,,
08/12/2024,7301.42992,1240.9,1242.92,126.9945542
08/13/24,7815.0307,1242.65,1245.14,126.7277829
08/14/24,7868.77,1251,1255,127.037366
08/15/24,7817.140383,1254.6,1259.44,128.6228404
08/16/24,8007.654067,1260.6,1265.19,126.5984151
08/17/24,8049.72,,,
08/18/24,8059.8,,,
08/19/24,8268.035,1264.55,1269.55,126.4647504
08/20/24,8236.72,,,129.4928715
08/21/24,8250.978333,1279.4,1283.81,131.6252786
08/22/24,8707.407267,1291,1294.46,133.3452306
08/23/24,8768.8,,,135.0990744
08/24/24,9718.29505,,,
08/25/24,9952.50882,,,
08/26/24,9919,1314.5,1315.89,133.0645651
08/27/24,10147.372,1317.15,1319.08,131.3402426
08/28/24,10883.912,1319.95,1321.51,133.9938124
08/29/24,10879.88,1311,1312.52,133.6671126
08/30/24,11332.622,1319.75,1325.59,131.5441493
08/31/24,11584.83,,,
09/01/2024,11591.22,,,
09/02/2024,13540.98,1339.25,1341.11,130.5033572
09/03/2024,16501.97167,1333.85,1337.81,128.4390592
09/04/2024,16860.88,1335.65,1339.52,129.1311157
09/05/2024,15142.83415,1332.2,1334.46,129.830223
09/06/2024,14869.805,1334.95,1338.6,128.584819
09/07/2024,15068.95,,,
09/08/2024,17276.39333,,,
09/09/2024,16808.36667,1353.7,1358.49,124.5051776
09/10/2024,16252.31,1354.95,1356.55,121.1098551
09/11/2024,17771.9,1353.15,1356.53,119.4417903
09/12/2024,19498.68333,1343.85,1348.56,118.9924683
09/13/24,19279.9,1344.9,1348.95,119.794569
09/14/24,18961.85667,,,
09/15/24,17737.11167,,,
09/16/24,17382.94,1331.15,1333.35,125.3036381
09/17/24,16047.51,1333.6,1335.31,125.3186349
09/18/24,15190.945,1331.4,1336.15,122.8923766
09/19/24,13776.61,1324.65,1326.12,122.9083214
09/20/24,13949.175,1315.45,1319.85,122.2619104
09/21/24,14119.02833,,,
09/22/24,13740.94,,,
09/23/24,15589.32167,1325.35,1328.73,122.4817737
09/24/24,14380.58167,1336.25,1341.02,126.3577299
09/25/24,14214.01,1352.45,1356.28,126.1462323
09/26/24,13215.574,1352.1,1356.4,127.2274007
09/27/24,14165.575,1346.6,1353.02,129.0601948
09/28/24,13796,,,
09/29/24,15005.85667,,,
09/30/24,15053.26167,1328.35,1334.49,128.829292
10/01/2024,15039.24,1327.95,1330.32,129.1457656
10/02/2024,17174.12,1333.5,1335.2,127.2280998
10/03/2024,17319.198,1325.75,1327.61,127.3541439
10/04/2024,17155.95,1317.85,1319.26,128.6932552
10/05/2024,15265.90667,,,
10/06/2024,14714.25333,,,
10/07/2024,14437.42,1320.4,1322.1,141.2037163
10/08/2024,13296.794,1331.4,1334.43,139.1227577
10/09/2024,13912.882,1329.4,1335.22,141.6420507
10/10/2024,13791.19,1321,1322.44,142.2334818
10/11/2024,13852.92,1320.6,1326.22,148.6754889
10/12/2024,14012.196,,,
10/13/24,13554.14,,,
10/14/24,11116.94667,1323.55,1328.56,142.3541189
10/15/24,11345.42333,1318.75,1323.39,136.5020775
10/16/24,11174.82,1310.1,1316.01,135.1418184
10/17/24,12950.79333,1312.4,1317.57,133.1720739
10/18/24,11505.228,1311,1316.52,133.6400453
10/19/24,11513.42,,,
10/20/24,11223.064,,,
10/21/24,11282.25833,1346.6,1351.99,142.5962156
10/22/24,11392.03,1352.4,1358.12,141.0308832
10/23/24,10969.815,1341.45,1348.11,138.5887068
10/24/24,11524.77667,1332.45,1335.98,140.0289219
10/25/24,11431.37,1323.85,1327.14,136.4480999
10/26/24,11212.655,,,
10/27/24,10184.06167,,,
10/28/24,10082.52,1327.7,1333.97,143.7791996
10/29/24,9083.258333,1331.2,1337.1,139.0058608
10/30/24,8901.901667,1331.95,1335.57,142.8926349
10/31/24,8852.73,1338.95,1344.31,142.6369722
11/01/2024,8400.648333,1350.75,1356.18,146.2853363
11/02/2024,6838.816667,,,
11/03/2024,6925.46,,,
11/04/2024,8099.958333,1349.35,1353.43,140.2305555
11/05/2024,8240.536667,1342.1,1347.88,140.4325785
